latitude,longitude
12.970372,79.156087
12.970372,79.156086
12.970372,79.156086
12.970372,79.156084
12.970373,79.156082
12.970361,79.156098
12.970361,79.156098
12.970362,79.156098
12.970362,79.156098
12.970362,79.156097
12.970417,79.156107
12.970417,79.156107
12.970416,79.156107
12.970416,79.156107
12.970415,79.156106
12.970415,79.156127
12.970415,79.156127
12.970414,79.156128
12.970414,79.156128
12.970412,79.156128
12.970458,79.156108
12.970458,79.156108
12.970464,79.156107
12.970464,79.156107
12.970471,79.156105
12.970435,79.156137
12.970435,79.156137
12.970435,79.156138
12.970435,79.156138
12.970434,79.156138
12.970413,79.156124
12.970413,79.156124
12.970412,79.156122
12.970412,79.156122
12.970410,79.156121
12.970474,79.156107
12.970474,79.156107
12.970478,79.156108
12.970478,79.156108
12.970482,79.156109
12.970490,79.156112
12.970489,79.156111
12.970489,79.156111
12.970491,79.156109
12.970491,79.156109
12.970482,79.156105
12.970482,79.156105
12.970482,79.156104
12.970481,79.156104
12.970499,79.156093
12.970499,79.156093
12.970503,79.156092
12.970503,79.156092
12.970507,79.156093
12.970501,79.156138
12.970501,79.156139
12.970501,79.156139
12.970501,79.156139
12.970479,79.156137
12.970479,79.156137
12.970480,79.156136
12.970480,79.156136
12.970480,79.156136
12.970518,79.156117
12.970518,79.156117
12.970517,79.156118
12.970517,79.156118
12.970516,79.156121
12.970384,79.156130
12.970384,79.156130
12.970386,79.156133
12.970386,79.156133
12.970388,79.156135
12.970505,79.156098
12.970505,79.156098
12.970505,79.156098
12.970505,79.156098
12.970505,79.156097
12.970518,79.156089
12.970518,79.156089
12.970519,79.156090
12.970519,79.156090
12.970521,79.156093
12.970503,79.156085
12.970503,79.156085
12.970502,79.156084
12.970502,79.156084
12.970502,79.156085
12.970608,79.156073
12.970608,79.156073
12.970607,79.156074
12.970607,79.156074
12.970607,79.156074
12.970607,79.156075
12.970411,79.156045
12.970411,79.156045
12.970411,79.156044

